species,island,sex,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
Adelie,Biscoe,MALE,38.846208525133704,16.088303644266794,185.3079254839744,5245.864734950656
Gentoo,Biscoe,MALE,42.64438634189862,16.480097151413744,206.13907762872938,4926.446833482581
Gentoo,Torgersen,FEMALE,46.98512591455056,16.68910521718744,180.96931124012073,3916.548275982515
Chinstrap,Dream,MALE,45.893158532443024,13.453365324012987,185.40172475722306,3959.4550548944785
Gentoo,Biscoe,MALE,49.26168702250476,14.840461248352675,224.33488607280705,5444.266826358621
Adelie,Dream,MALE,51.13505023314161,16.285134598580267,215.12771813217762,3657.9754869042163
Adelie,Dream,FEMALE,41.726384866754216,15.678637358716065,176.9223630775169,3512.47758757386
Adelie,Dream,MALE,50.55003153526067,17.037716720666133,191.21235418887852,3084.836761477436
Chinstrap,Biscoe,MALE,34.94344048202848,14.402972107637698,205.61198298720961,4205.105826518402
Gentoo,Biscoe,FEMALE,50.993552348823066,14.938998473965782,188.0819649092154,2989.4515502251425
Chinstrap,Biscoe,FEMALE,51.873468998352706,18.723599865736183,193.1998992484493,3969.2872143546915
Chinstrap,Biscoe,MALE,34.661196420820765,19.985783682542493,221.90915618551736,3978.342986053607
Chinstrap,Biscoe,FEMALE,48.170018297766006,19.17703973675148,216.16436089017182,3676.580643339723
Chinstrap,Dream,FEMALE,52.331364231238936,16.194497043617858,183.86662585550576,6111.817685776263
Adelie,Biscoe,FEMALE,49.91683084078676,15.193115652794157,189.34360537903004,3289.5549576590115
Chinstrap,Biscoe,FEMALE,39.95021188042176,16.360220303476734,210.4557212413976,3613.44075089307
Adelie,Biscoe,MALE,38.32864852199249,17.890573904995545,224.26360742180583,3487.3902905153736
Adelie,Biscoe,MALE,33.38297499241718,14.038184397715854,193.37960259699528,5476.076997034269
Gentoo,Dream,FEMALE,53.71309020726194,17.570684942182567,196.7316934309905,4614.0806524863165
Chinstrap,Biscoe,MALE,49.117220444490414,13.485726272411537,223.94054327761367,5914.130437483397
Gentoo,Biscoe,MALE,52.448319032279,16.849091054347486,188.05954127972987,4220.190009269039
Chinstrap,Dream,FEMALE,48.861418809181224,14.484038935990512,209.96098659112144,4215.6066136186855
Adelie,Dream,MALE,39.928615504348556,15.089788451869728,192.66856753666508,4564.7595838655425
Gentoo,Biscoe,MALE,46.58586434984346,18.07434645005263,189.45814841301402,3613.3692802849832
Gentoo,Biscoe,MALE,50.21782443631085,16.547920687101527,181.7049081685584,3149.003999324504
Adelie,Biscoe,MALE,35.403708348615716,14.354530591282803,186.57370006528282,4743.604453242068
Adelie,Torgersen,FEMALE,50.68694226937962,18.904514522587526,202.3751547382142,3326.2765721191695
Gentoo,Biscoe,MALE,41.99669162166597,13.163846664469514,190.85617227800316,3003.411104824753
Chinstrap,Biscoe,FEMALE,51.26419408839209,18.691322742269566,196.371143313073,3678.2274523308097
Gentoo,Dream,FEMALE,37.843802194893875,18.654437409498378,212.38849927434416,3344.407311778755
Gentoo,Biscoe,FEMALE,38.31100709454311,13.482976812955082,178.90404035860877,3110.0937321430456
Gentoo,Torgersen,MALE,37.500858062640624,19.17751182076125,198.70372119676924,3840.135304418474
Adelie,Biscoe,MALE,43.23698545147886,21.00858850183087,203.68305665379972,5602.297325801133
Gentoo,Biscoe,FEMALE,39.1183811359322,18.185006447238905,226.46303338287694,4400.913630328532
Adelie,Dream,MALE,36.910413896795845,14.594852200102473,198.12813494423506,3907.3343777466534
Gentoo,Dream,FEMALE,50.74403275644639,18.092967510007174,212.20331471867232,3271.0982855962925
Gentoo,Dream,MALE,46.44813427345841,19.301621558539168,230.76080183757205,5430.836072812529
Gentoo,Dream,FEMALE,47.336431937347534,17.79045988473572,209.09780254144462,3350.811482318605
Adelie,Biscoe,FEMALE,46.29363277291966,17.585142846293635,180.07514825187408,2975.0993466314276
Gentoo,Biscoe,MALE,48.05957225208117,16.866555074369536,198.93039834075395,5520.077799414115
Adelie,Dream,FEMALE,43.65455550561949,15.889737410539304,203.28664088102377,5893.311030924169
Adelie,Dream,FEMALE,50.21904625642554,17.348829081850052,186.6145961087788,3056.4169027775756
Gentoo,Biscoe,MALE,42.651573424593394,17.520728582005216,184.78826822187173,3372.026598219535
Adelie,Dream,MALE,35.13558473745877,14.376675426145955,191.04130194182753,3542.5614810864754
Chinstrap,Biscoe,MALE,46.93265595038026,12.94151003517651,196.16004025282834,3345.5933245831657
Adelie,Dream,MALE,47.34571755322892,18.409370113347567,188.16621596358027,2947.2269219745667
Gentoo,Biscoe,.,45.04483975835359,14.068898660586738,197.90412995780585,4708.801344720933
Adelie,Biscoe,FEMALE,44.71534497434991,16.199104934369803,216.82768003544606,3295.957582170885
Gentoo,Biscoe,MALE,46.25680004588527,13.945531717912802,216.61252208410156,4280.154698105805
Adelie,Dream,MALE,42.33934696623047,19.08563705417582,187.50100295238084,3822.3523922913014
Adelie,Biscoe,MALE,42.78659821444703,16.582921392735482,224.27060116208978,3119.8005316000927
Gentoo,Biscoe,MALE,44.18051890792469,17.824154310414738,195.61199281289512,4590.946322981685
Gentoo,Dream,FEMALE,51.418398871494496,15.529954824926486,187.02360793556394,3232.6000723787474
Adelie,Torgersen,MALE,41.34048255609334,13.096139469471037,216.13060735775483,4016.4785803561535
Chinstrap,Dream,FEMALE,47.7104844062268,19.240002590180985,190.2878035599445,4392.921505567062
Chinstrap,Torgersen,MALE,42.731968418759585,18.34253144532349,231.32451772185317,3643.7586125049475
Chinstrap,Biscoe,FEMALE,47.29547340105222,20.797082809429163,218.85210926031579,3801.797942898984
Gentoo,Torgersen,FEMALE,48.84526762330168,18.971540606842318,204.70187243033783,3207.6458138715
Adelie,Torgersen,MALE,34.14445857784962,19.58939584072242,209.83061755905294,4942.956753191051
Adelie,Torgersen,FEMALE,38.34705284975202,13.897261585827124,214.69880251171028,6142.523469096093
Gentoo,Biscoe,FEMALE,36.667475061578344,15.711216424800085,209.64515872966402,5205.942351678012
Gentoo,Biscoe,FEMALE,46.96500802856922,14.025098937109618,232.49131444484695,5564.55178744941
Gentoo,Biscoe,FEMALE,48.617989852529725,13.75160934910669,190.47507407315953,3927.2116036917314
Adelie,Dream,FEMALE,38.612302272355315,17.10146381192348,181.6394709103654,3888.750037450856
Adelie,Dream,MALE,42.43968446808637,14.463409954979593,181.08701753848973,4047.360071801093
Adelie,Biscoe,FEMALE,41.982860914950194,15.956227980718428,168.13524411148245,4907.664764148271
Adelie,Dream,MALE,48.14728719042858,21.681411125003475,212.49326197606217,4315.017580720461
Adelie,Biscoe,FEMALE,59.03072432895812,18.73035301873879,195.056833615525,4348.632241590755
Adelie,Dream,MALE,46.23725467383115,19.095952277446166,210.76795080575693,3170.942078782251
Adelie,Biscoe,FEMALE,37.49936940471272,20.23433647484853,194.3559642016091,4209.076152850064
Gentoo,Dream,MALE,32.50213105047057,16.745868568649666,202.75156821069035,3892.2827693738545
Adelie,Dream,FEMALE,41.34657500947654,18.31225124818436,214.81205714889325,3567.0196979808857
Gentoo,Biscoe,MALE,36.51122272850155,12.764821636237127,187.93313471430017,4105.721905383702
Chinstrap,Biscoe,MALE,47.846970308678806,15.159963671203192,189.4398845028529,3571.7164312950404
Adelie,Torgersen,MALE,43.21719950091896,14.548861995751022,227.86892453580654,3390.774679079723
Chinstrap,Torgersen,MALE,48.99687881258795,19.580889271239638,219.50698532728003,4069.6680941332183
Gentoo,Torgersen,MALE,46.926092108870606,15.780159915069593,190.72672984876837,3737.137679711466
Gentoo,Biscoe,FEMALE,46.659995618898854,18.93671858399272,213.37807146670343,3932.8000261370626
Chinstrap,Biscoe,MALE,38.073011519404375,17.318140270769277,199.0833996646014,3849.621841088021
Adelie,Biscoe,FEMALE,46.27259778418023,14.097054301350886,186.2456089183542,3549.418125504656
Gentoo,Dream,MALE,39.526125042595524,18.231448121066315,198.80528043425963,4480.1297084436055
Gentoo,Biscoe,FEMALE,37.89504225728958,16.689751988405998,185.43799910225405,5415.107385426603
Adelie,Dream,MALE,49.9046793585754,13.56258305393463,187.88276911011832,4569.3242003031555
Adelie,Torgersen,MALE,38.42746558153505,17.566002472987662,198.76926316097254,3329.3930361830894
Gentoo,Dream,MALE,37.82740409210908,18.619611509798798,196.08943073697273,5305.981663950467
Adelie,Biscoe,FEMALE,40.78502228940119,17.408703374787173,183.7946160006922,4166.650250466493
Gentoo,Torgersen,MALE,52.380793264000204,13.058227254297426,178.5312552960096,3610.2966270662046
Gentoo,Biscoe,MALE,43.12007670657962,16.38872455325471,212.18744148880975,3168.1146122396854
Chinstrap,Biscoe,MALE,44.101160484070526,19.559716440372636,197.66789817268327,2912.390061707643
Chinstrap,Torgersen,FEMALE,35.8626573076261,14.809781776400468,210.52499714547207,3356.914814795404
Gentoo,Biscoe,FEMALE,39.509354789867494,19.190772580066106,199.9155590932071,3977.3479194922734
Adelie,Dream,FEMALE,51.35168213535153,20.06533436613846,207.83112090075355,2725.4837385929313
Gentoo,Biscoe,MALE,49.18387818413784,16.95487919131638,198.49724687772874,3365.9568286507747
Gentoo,Dream,MALE,47.317392130553,18.84517684615533,181.8001729929596,5201.73217360217
Gentoo,Biscoe,MALE,36.856688908872194,17.767898453960626,196.88872627802283,5077.884186995254
Chinstrap,Biscoe,FEMALE,38.025478289152005,19.58398147900116,177.46064383213775,4498.442858794425
Adelie,Biscoe,MALE,52.134353512286715,14.616345710989474,181.197156455015,3440.9353801196603
Chinstrap,Biscoe,FEMALE,40.02809213653613,14.625605660582252,205.8686939437577,5766.18770362744
Adelie,Biscoe,MALE,31.791555971682808,17.309141732058208,198.86076477413192,3384.403383103031
Gentoo,Biscoe,FEMALE,41.450195598761326,19.06995480952843,214.10575789555253,5904.717197529677
Chinstrap,Biscoe,MALE,51.36805634892013,15.299148898890355,217.61385766610357,3148.4196312746167
Gentoo,Biscoe,FEMALE,39.804994349224735,14.981994232698352,198.40377412438832,4118.502727710572
Chinstrap,Dream,FEMALE,33.23296828044652,17.248990083695485,199.08403034706222,5429.322698667343
Chinstrap,Biscoe,FEMALE,41.10905503472154,15.153863539906867,186.50532755191708,3979.5802340590394
Gentoo,Biscoe,MALE,36.2568842233388,20.310126656842552,197.45581087356865,4673.987789117838
Chinstrap,Dream,MALE,43.910291140266274,15.22835676678596,186.10759711735366,4210.461055901859
Gentoo,Dream,MALE,53.58986685709961,17.22240599053843,197.06155233390402,3564.9699210992994
Chinstrap,Biscoe,FEMALE,44.364386264698155,15.737886473745874,222.7763599365651,4889.037989706223
Adelie,Torgersen,MALE,49.03840099129694,14.616290096241892,190.27129449953054,2946.539248943438
Adelie,Biscoe,FEMALE,44.659149882275905,12.75876764936774,195.74249624839533,3864.1773626310714
Gentoo,Biscoe,MALE,41.01901739124544,12.784925200271406,189.62608799837218,5008.51325156477
Chinstrap,Dream,MALE,48.71443287933727,18.066245226486604,194.49049323420635,4801.292058320612
Adelie,Dream,FEMALE,52.14070804333224,13.429917221908354,196.98686161761856,3382.993361042523
Adelie,Biscoe,FEMALE,35.69574814174286,18.87767841820253,193.2656832009158,4191.310730160753
Gentoo,Dream,MALE,52.18775809861608,18.65018946733067,218.29508914242754,2656.229109324487
Adelie,Torgersen,MALE,49.21228045531812,18.23081995609035,181.62340672894257,4649.950144025969
Adelie,Dream,FEMALE,31.69530493998408,18.050721768348048,218.91972082245255,3435.494257346916
Adelie,Torgersen,FEMALE,47.77578844148511,18.366742721727746,215.5673349047956,4481.5918162948465
Gentoo,Dream,FEMALE,46.651093392383586,16.96801046512587,212.51554894482564,5770.53765206823
Adelie,Torgersen,MALE,39.060948324301734,15.064257151754067,193.59606358766538,3646.4724852287
Adelie,Dream,FEMALE,33.5675353432759,18.367219110644076,184.7346377745485,3143.4437762193184
Gentoo,Biscoe,FEMALE,34.86124585230699,18.951776627308274,197.41745091458137,3874.5782821325333
Chinstrap,Torgersen,FEMALE,38.65623596667903,14.13358123727672,222.08563633959952,4502.645165280174
Gentoo,Torgersen,MALE,48.56588905735815,18.96142248587918,188.1560483132626,2869.05979501396
Gentoo,Biscoe,MALE,50.59601443172837,17.295790334133198,185.12019283885948,3066.2428392478705
Adelie,Dream,FEMALE,47.190440975055296,19.09803627723206,235.1852076638846,3927.627661834404
Chinstrap,Dream,FEMALE,45.23087368265014,20.533232090680702,187.47350140179316,2673.06098572496
Gentoo,Biscoe,FEMALE,52.15974543406254,17.171599341744965,183.79791988393512,4085.970559374677
Gentoo,Biscoe,FEMALE,46.812872993969435,17.57115858312521,192.36861087671082,6041.813390077553
Gentoo,Biscoe,FEMALE,54.0179570078181,16.212105955837874,195.95867773918343,3509.2376065967774
Adelie,Biscoe,FEMALE,42.16304505561319,18.6287026980773,213.005511797764,2828.503343854421
Chinstrap,Torgersen,FEMALE,39.97435492000729,16.315314264348384,189.90385839875074,3634.4723867989455
Adelie,Biscoe,FEMALE,43.61798355612479,16.75452857618678,186.3283909955808,4725.602189567138
Chinstrap,Dream,FEMALE,46.32849368707156,19.95754938524368,178.32085112842205,5896.358573642644
Chinstrap,Biscoe,FEMALE,47.468699173869,16.047349219854084,207.5249091898541,4854.220788031582
Adelie,Biscoe,MALE,43.06267022681497,16.806364532552397,198.05797692808707,4491.318228065478
Adelie,Dream,FEMALE,46.32650874891496,13.432066957790912,230.8693807470568,3330.9170367007914
Adelie,Biscoe,MALE,39.66392961319677,14.229584177790178,187.20925489434325,3900.5500817611373
Gentoo,Dream,FEMALE,47.06311157074404,17.294632173121787,190.30959667774798,2689.841816208102
Chinstrap,Biscoe,MALE,39.79688622041304,13.41020279881,170.9845908947628,3617.7774484842475
Adelie,Dream,FEMALE,41.55547652743216,17.079049892976375,208.20117541147812,3163.296219538248
Adelie,Biscoe,FEMALE,45.611551199419274,18.43334134027219,185.46453946827427,4057.020904942646
Adelie,Biscoe,MALE,45.831876807644406,20.13556853799112,190.024318736618,3810.805037559233
Adelie,Biscoe,FEMALE,47.89718612676197,16.461793959039674,202.80413588175296,4940.280185105987
Adelie,Dream,MALE,36.917012462662896,17.409704132776348,195.99613826033928,4098.690491459526
Adelie,Torgersen,MALE,44.08312206599584,13.616852199955584,228.7055956649207,3567.3664046986805
Chinstrap,Biscoe,MALE,42.42054248801324,15.94965159956424,197.04899082222735,3522.4256851585287
Adelie,Dream,FEMALE,38.53873433504511,13.102490008320443,216.7687862028907,5618.5923499344435
Chinstrap,Biscoe,FEMALE,36.88150351206664,15.485640709148662,207.6990795386008,3828.0011135089726
Chinstrap,Biscoe,MALE,41.97643629630194,13.776827087268568,222.20905563178576,4787.938052745161
Adelie,Biscoe,MALE,39.447709994247134,17.20536883803607,196.3947000528188,4807.232061845112
Adelie,Dream,MALE,36.18829153848023,13.580598277604249,176.97008738201782,3336.5844082623194
Gentoo,Biscoe,MALE,36.18497093408326,16.436979540359978,219.66103782714384,3651.3702469158793
Adelie,Dream,FEMALE,49.45088474243799,16.374390354951544,194.06612977622277,3617.782433595957
Chinstrap,Dream,MALE,42.16308238367823,16.36267792812196,218.64510579577473,3811.4180998957668
Gentoo,Torgersen,FEMALE,45.253607500671656,14.383274390759546,227.23836507347667,3278.175662474847
Gentoo,Biscoe,MALE,50.41660786005384,13.52655967218271,232.09022176013224,3735.6983376532335
Chinstrap,Biscoe,FEMALE,37.8182790336189,20.94048810639977,205.66610096956074,3373.6450092620307
Chinstrap,Dream,FEMALE,52.023695033714496,18.13494621838905,179.42597303764597,3685.498070582837
Chinstrap,Dream,MALE,41.254732146588964,16.379627818914077,212.87994899951912,4248.218168579531
Gentoo,Torgersen,FEMALE,49.038958353118666,17.40593698604009,197.90163455531692,5809.807490191997
Adelie,Dream,MALE,46.09098157846682,17.667967863073212,218.9468996315095,5914.908436711165
Chinstrap,Biscoe,FEMALE,46.51750992077392,16.288592854131185,180.20618707440784,6036.62924049671
Gentoo,Biscoe,MALE,39.1297064746437,19.70809498976822,220.13858855429453,3743.4331053019855
Adelie,Torgersen,MALE,45.505836897952925,18.33686708431937,200.0075805778892,5315.137113931415
Adelie,Biscoe,FEMALE,34.339700143667926,18.52187353511424,190.53480971921678,4855.31090634776
Adelie,Biscoe,FEMALE,36.59126889336138,14.398364123384296,205.1577492697584,3396.692253510988
Gentoo,Dream,MALE,42.1316843847412,17.49278284720331,211.01336535887157,2882.3054059137153
Adelie,Torgersen,FEMALE,48.548421486950076,16.09623183850989,197.41797568328028,3817.391746329665
Adelie,Biscoe,MALE,42.27530169824631,13.296466969098164,188.50844778195005,5690.965008017965
Gentoo,Torgersen,MALE,37.85753822521304,20.713339433618692,196.6533658853088,2838.358420817434
Adelie,Dream,MALE,51.79052693148879,18.475575834180564,208.76280035157552,3364.0139656267943
Chinstrap,Dream,FEMALE,43.321764322995485,15.05339546021944,182.22702175334118,3572.719448089429
Adelie,Biscoe,MALE,53.59029404160863,17.926317832730867,201.505432649687,3943.095868310244
Adelie,Dream,FEMALE,33.78837284505529,20.505512004594163,190.42151831593554,3902.7961027313017
Adelie,Dream,MALE,51.81823615831153,19.43232800026618,215.8626100743137,2311.4755128378515
Adelie,Dream,MALE,52.03354769658799,17.62474289301528,180.33095287215653,4875.476102909076
Adelie,Biscoe,MALE,48.62948202347221,16.71272380563668,195.9766753712901,4957.258405334915
Gentoo,Dream,MALE,34.9713336201128,15.182294790822446,229.87793487726537,4340.618305969474
Adelie,Biscoe,MALE,46.37355918332785,18.44034243381191,205.844537557677,5618.926304193146
Gentoo,Dream,MALE,45.56256844854985,15.438082585574715,191.8416487177603,4205.904427651045
Adelie,Biscoe,FEMALE,37.65108054575757,15.577433999981844,194.27632570028146,3869.006208285674
Gentoo,Dream,FEMALE,34.36720352479904,19.798659916916233,199.92017997681452,4154.290464234365
Gentoo,Dream,FEMALE,35.172732755135726,14.882264180979387,210.25810230183538,4672.237237878494
Gentoo,Dream,MALE,51.14456673769721,19.528864466390566,196.18708963834388,4291.038615165393
Gentoo,Dream,MALE,43.50241552908382,18.57234199875985,186.10329992008255,4091.4244372272356
Gentoo,Biscoe,MALE,33.732552663810516,17.946137525145037,204.51657628478617,4525.021816202205
Adelie,Biscoe,FEMALE,41.705127327580364,19.292181624520644,213.0293662906942,3341.635629096013
Adelie,Dream,MALE,32.52189847193178,18.076216328684485,195.1323850403075,4059.496528940436
Gentoo,Dream,MALE,48.538471485004536,13.872669859032895,186.1474583827877,3306.383311759253
Adelie,Biscoe,FEMALE,44.25003052648308,17.228954819212706,223.06612685890823,2580.6856263452028
Adelie,Biscoe,FEMALE,42.51506737459142,19.00079182624842,192.3259661221324,5533.872435381757
Adelie,Biscoe,FEMALE,53.04150074019969,17.05455776738834,197.9105358129595,3043.7649803549575
Gentoo,Dream,FEMALE,52.18019164671234,16.576579870642203,219.56397515350767,2624.24334982714
Adelie,Biscoe,MALE,48.00281598526292,17.137628851025177,205.3240787934121,4841.865223006931
Chinstrap,Biscoe,FEMALE,45.68460476615056,13.471278476314628,229.9900252158081,3360.9381089006574
Adelie,Dream,FEMALE,36.91542314048925,14.007826036807266,189.4315799138431,5180.595586015431
Adelie,Biscoe,FEMALE,49.760098002422424,18.003984449771743,186.86630225715385,5459.180262785303
Adelie,Biscoe,FEMALE,50.738146501131105,20.72467242420859,202.9882957275749,4212.35056366151
Gentoo,Dream,FEMALE,49.12408490466232,22.05414200593451,189.92666842184914,2744.3315062820748
Chinstrap,Dream,MALE,45.36606930079582,15.144939512721209,227.12533096210817,3271.393032290153
Adelie,Biscoe,MALE,50.40935768786447,13.124516357196438,211.9930650301617,4342.738509733073
Adelie,Biscoe,FEMALE,42.01365312749282,14.108363450269021,197.75593889122013,3358.8991448699994
Adelie,Torgersen,FEMALE,54.40449813398911,17.90702054705406,201.75031705502664,3391.9119361807666
Adelie,Biscoe,MALE,43.49582264350897,17.13232040829368,190.75880069740975,6003.360712817692
Adelie,Biscoe,MALE,40.78836858301645,14.282990180992993,219.96123233031122,4759.950705359583
Gentoo,Biscoe,MALE,39.57144189168684,17.785483578424866,188.47140731546097,4577.651654989103
Adelie,Dream,FEMALE,46.0420093994086,14.705708737173472,178.78322846165017,3461.753716933403
Chinstrap,Torgersen,FEMALE,35.57475559339386,18.795155600883383,203.87732050341444,4681.223338062793
Adelie,Biscoe,MALE,40.1518206140673,19.8048235055628,196.27406010214446,3550.8872995804722
Gentoo,Dream,MALE,47.45420618236126,16.78894298386883,208.67400527579446,4421.455076482624
Adelie,Biscoe,MALE,41.119205776269844,21.403216144348388,182.32342209054804,2798.2846378428294
Adelie,Torgersen,FEMALE,48.40844187823785,18.476725382173182,180.29211888047092,5417.988272948399
Gentoo,Dream,FEMALE,45.90196115246184,18.79941500240589,189.09778992094127,4083.6155600487523
Adelie,Biscoe,MALE,43.57785089742498,16.82558458215463,179.6924557578789,3063.715070780991
Gentoo,Biscoe,MALE,44.136376696858534,16.278586906361383,188.93159435595248,5531.209796861785
Gentoo,Dream,MALE,40.60906675999138,20.402726997436428,190.55227684895507,3915.975694675345
Chinstrap,Torgersen,MALE,46.42042122121409,17.98338677919268,229.16528851478336,5118.352074728154
Adelie,Biscoe,FEMALE,49.6084533747365,16.841152833901962,197.34608281725775,3215.820072269672
Gentoo,Biscoe,MALE,35.86939538285507,12.768395976617024,186.41745557204263,5972.055572045987
Chinstrap,Dream,FEMALE,39.16506853674182,20.22691916902225,219.50438060413467,4665.743934789352
Adelie,Dream,MALE,38.76867649960864,13.671381531572527,215.5616888530767,5810.852315308591
Chinstrap,Dream,FEMALE,43.56245098971105,16.646760549622215,205.03284273516854,2822.090919686658
Adelie,Biscoe,MALE,43.55239060082668,17.39211741000291,196.75937618753576,5004.744224667469
Adelie,Biscoe,MALE,39.433503701574296,14.469470529067156,202.87451908001447,3649.4272869048796
Adelie,Dream,FEMALE,34.74090325507514,15.333901539662971,186.39349018869171,3074.7729084995926
Chinstrap,Dream,FEMALE,41.488031972874694,14.841062042726696,207.41635918886138,3641.797860101733
Gentoo,Dream,MALE,40.8595026682024,14.708431756826341,196.6564278690067,5637.152399199956
Chinstrap,Dream,MALE,46.79107677543314,18.106455129155826,205.21976624050097,5191.39628722671
Gentoo,Biscoe,MALE,49.20618074972453,13.72887473079156,194.9524499329433,3564.952876538362
Adelie,Biscoe,MALE,42.187180017458,13.70726565539541,213.54817387785835,3282.6788283906394
Gentoo,Biscoe,MALE,47.15340556758086,13.517971989945105,206.33060867049738,3964.20697883727
Adelie,Torgersen,FEMALE,51.98601178881002,19.025682538138064,199.74346301386555,3623.900856130904
Adelie,Dream,FEMALE,50.68131071003167,15.78511302628832,203.00653416194473,3133.6623271515423
Gentoo,Biscoe,FEMALE,49.00996389527449,14.685775152382636,174.993255665603,3368.3602746574143
Adelie,Biscoe,MALE,52.979725511290326,18.213343560774888,206.56443310082125,3706.2193880599025
Adelie,Dream,FEMALE,40.13722548612146,13.48430254190509,209.32676609117522,4635.683172368775
Gentoo,Biscoe,FEMALE,50.04879591193739,17.21018030104553,196.68878790425458,5076.968614977906
Adelie,Biscoe,FEMALE,48.348028870846264,17.619084671560135,219.52903361572487,5611.377432012835
Adelie,Biscoe,MALE,41.56432894864474,13.84660758757652,198.82549689349517,4934.40732128451
Adelie,Biscoe,FEMALE,43.66141179633929,15.410862059720147,189.27367775701393,5598.1357169055145
Chinstrap,Dream,FEMALE,45.0806850956977,20.060819981135104,192.01827726032522,4066.381058441668
Adelie,Biscoe,MALE,52.56318838728293,20.981482856016218,215.44358577687075,3789.0339669156497
Gentoo,Biscoe,FEMALE,55.05094293207938,18.273184830140845,196.06920257315895,3817.2882362625814
Gentoo,Biscoe,MALE,41.80104929848853,14.118515211911417,224.19724442547752,3922.4080271770695
Adelie,Dream,FEMALE,55.24328674412555,17.121458153414654,214.44783246497545,3578.638729792234
Adelie,Torgersen,MALE,50.68929724956728,20.30460854682018,202.2485010046623,3576.8199230630485
Gentoo,Biscoe,MALE,47.160071561051474,18.690931342446735,192.7489080477027,3395.0598214182783
Chinstrap,Biscoe,MALE,46.398079068656386,15.01016008710615,199.25986487182215,4705.435555150482
Chinstrap,Dream,MALE,38.042890725266425,20.674721146699873,207.79835337219887,3298.375309451064
